station_eu_code;st_x;st_y;altitudine;regione;provincia;comune;nome_stazione;Mese3.feriali1;Mese3.feriali2;Mese3.feriali3;Mese3.feriali4;Mese3.festivi1;Mese3.festivi2;Mese3.festivi3;Mese3.festivi4;Mese3.festivi5;Mese4.feriali1;Mese4.feriali2;Mese4.feriali3;Mese4.feriali4;Mese4.feriali5;Mese4.festivi1;Mese4.festivi2;Mese4.festivi3;Mese4.festivi4;tipo_zona;tipo_stazione;zona_tipo;i_surface;d_a1;d_a2
IT1290A;9.28278;45.39528;97;LOMBARDIA;Milano;San Giuliano Milanese;S. GIULIANO;-0.07180309295654297;-0.09278865158557892;-0.1913978010416031;-0.3049754500389099;-0.390287846326828;0.1813441514968872;-0.2586900591850281;-0.674811840057373;-0.5159953832626343;-0.01279952283948659;-0.03276923298835754;-0.47496381402015686;-0.1243898868560791;-0.4915809631347656;-0.009354786016047;-0.4307905435562134;-0.5231006145477295;-0.5134714245796204;U;T;TU;60.56658172607422;1376.7611083984375;167.52383422851562
IT1294A;8.73667;45.52583;146;LOMBARDIA;Milano;Turbigo;TURBIGO;0.01065653190016746;-0.03584634140133858;-0.01749904826283455;-0.4156841933727264;-0.20833952724933624;0.13781070709228516;0.1527203917503357;-0.4183362126350403;-0.4331137537956238;-0.0918593853712082;-0.3177001476287842;-0.5452983379364014;-0.0491630956530571;-0.329283744096756;-0.2516346573829651;-0.49749451875686646;-0.49849602580070496;-0.3358275890350342;U;F;FU;40.25714874267578;6270.11474609375;7968.64990234375
IT1692A;9.23583;45.47833;122;LOMBARDIA;Milano;Milano;MILANO PASCAL CITTà STUDI;0.00599740771576762;-0.13821221888065338;-0.16834957897663116;-0.42103761434555054;-0.33455559611320496;0.1918674111366272;-0.15203389525413513;-0.6951740384101868;-0.5855685472488403;-0.1731143444776535;-0.1993442177772522;-0.5327425599098206;-0.21650360524654388;-0.5252072811126709;-0.23769482970237732;-0.5378912687301636;-0.5454857349395752;-0.5501720309257507;U;F;FU;75.23548889160156;930.737060546875;1686.8912353515625
IT1792A;9.503333;45.528056;133;LOMBARDIA;Milano;Cassano d'Adda;CASSANO VIA MILANO;0.0242044385522604;-0.1935988217592239;-0.3660508096218109;-0.4306224584579468;-0.34769541025161743;-0.01820122264325618;-0.4529636800289154;-0.6912083029747009;-0.5821632146835327;-0.2956610321998596;-0.32137683033943176;-0.35794490575790405;-0.10453104227781296;-0.4880555272102356;-0.36351704597473145;-0.483786016702652;-0.3070554733276367;-0.4419233500957489;U;T;TU;20.917789459228516;2618.751953125;442.0755615234375
IT2098A;9.27611;45.60222;181;LOMBARDIA;Monza e della Brianza;Monza;MONZA PARCO;0.05279897153377533;-0.12313907593488692;-0.3424832820892334;-0.5677724480628967;-0.29101935029029846;0.0842602550983429;-0.20505447685718536;-0.7514380812644958;-0.6294674277305603;-0.4022766649723053;-0.48106589913368225;-0.46215781569480896;-0.09503553807735445;-0.4933585226535797;-0.5230985283851624;-0.6405413150787354;-0.3801326453685761;-0.4127538502216339;S;F;FS;0;5111.60791015625;2506.312744140625
IT2232A;9.16698;45.5476;155;LOMBARDIA;Milano;Cormano;Cormano-Edison;0.09456706792116164;-0.11594804376363754;-0.19578757882118225;-0.5088873505592346;-0.23909743130207065;0.2044188380241394;-0.00847811717540025;-0.7449150681495667;-0.5800854563713074;-0.17332777380943298;-0.26175355911254883;-0.5237868428230286;-0.2275207042694092;-0.5402581095695496;-0.306041955947876;-0.570368230342865;-0.5346792936325073;-0.531650722026825;U;F;FU;63.09299087524414;1355.1326904296875;4016.004150390625
IT0837A;9.55639;45.63306;190;LOMBARDIA;Bergamo;Filago;FILAGO;0.1441926509141922;-0.09121598303318024;-0.32157835364341736;-0.401343286037445;-0.25239604711532593;0.16026195883750916;-0.38491660356521606;-0.6419231295585632;-0.5888222455978394;-0.2728462219238281;-0.3302300274372101;-0.3216319978237152;0.014638377353549;-0.4247722625732422;-0.3752806782722473;-0.4808985888957978;-0.16254253685474396;-0.28435471653938293;U;F;FU;0;1468.1678466796875;2948.181640625
IT0997A;9.661667;45.695687;249;LOMBARDIA;Bergamo;Bergamo;BERGAMO - VIA GARIBALDI;-0.01022002380341291;-0.21529360115528107;-0.39327484369277954;-0.44471362233161926;-0.2955821454524994;-0.02496162988245487;-0.47303101420402527;-0.6419733762741089;-0.6339640021324158;-0.4278145730495453;-0.4629341661930084;-0.4838538765907288;-0.28438618779182434;-0.5754274129867554;-0.5113346576690674;-0.573806881904602;-0.3763883709907532;-0.4735614061355591;U;T;TU;81.01154327392578;2606.436767578125;679.7034912109375
IT0707A;9.643889;45.690278;249;LOMBARDIA;Bergamo;Bergamo;BERGAMO - VIA MEUCCI;0.02006405591964721;-0.18808366358280185;-0.3687744140625;-0.4266597330570221;-0.28193938732147217;0.0256496574729681;-0.44212743639945984;-0.6298269629478455;-0.621150016784668;-0.3798621892929077;-0.4363904297351837;-0.4460116624832154;-0.20878814160823825;-0.5488476753234863;-0.4753645360469818;-0.5589174628257751;-0.30889683961868286;-0.4256007969379425;U;F;FU;22.200227737426758;3386.9833984375;449.9830017089844
IT0737A;10.04111;45.71361;291;LOMBARDIA;Bergamo;Tavernola Bergamasca;TAVERNOLA;0.12315700203180312;0.15005142986774445;-0.562191903591156;-0.6292898654937744;-0.19572758674621585;0.06112270429730415;-0.5791904926300049;-0.7991585731506348;-0.700022280216217;-0.4331626892089844;-0.36689436435699463;-0.4633798599243164;-0.3468971848487854;-0.4638923108577728;-0.5810543894767761;-0.4723668396472931;-0.4367816746234894;-0.5049622058868408;S;I;IS;0;14197.8310546875;5496.5478515625
